Cedar Creek Species Name;Updated Species Name;Species Abbreviation;Measured Soil Nitrate mg kg-1;standard error [ln(Soil Nitrate)];Measured Aboveground Biomass g m-2;standard error[ln(Aboveground Biomass)];Measured Proportion Tissue N;standard error[logit(Proportion Tissue N)];planted in E120;Aboveground Biomass in E120. g m-2;Snapped Soil Nitrate mg kg-1;Snapped Aboveground Biomass g m-2;Snapped Proportion Tissue N
Achillea millefolium (lanulosa);Achillea millefolium L.;Achmi;0.130566389;0.236810054;48.7325375;0.356508733;0.013405147;0.065218263;TRUE;31.66535264;0.139576595;46.73429262;0.013063243
Agastache foeniculum;Agastache foeniculum (Pursh) Kuntze;;0.123209044;0.473804401;19.8667011;0.470468373;0.017074939;0.094756157;FALSE;;0.134923391;18.76624745;0.016487027
Agropyron repens;Elymus repens (L.) Gould;;0.134793481;0.152039921;24.34043518;0.252294689;0.015224021;0.073628808;FALSE;;0.134260639;24.40099917;0.015247338
Agrostis scabra;Agrostis scabra Willd.;;0.15627735;0.146759388;48.6395035;0.260720875;0.013232158;0.094756157;FALSE;;0.149101066;50.09542549;0.013475158
Ambrosia artemisiifolia elatior;Ambrosia artemisiifolia L.;;0.149161121;0.335030305;31.88244593;0.360201053;0.016897829;0.073628808;FALSE;;0.16053718;30.44559243;0.016425381
Amorpha canescens;Amorpha canescens Pursh;Amoca;0.247523975;0.199585623;181.376178;0.290549951;0.019651998;0.06913258;TRUE;190.7469512;0.322744482;153.5590903;0.017743334
Andropogon gerardi;Andropogon gerardii Vitman;Andge;0.065788676;0.134640978;53.63219498;0.238454035;0.008846156;0.054984062;TRUE;52.95149537;0.078092648;48.16245273;0.008275417
Anemone cylindrica;Anemone cylindrica A.Gray;;0.14638533;0.29654181;78.86396533;0.360201053;0.010903556;0.066051069;FALSE;;0.139064612;81.44380998;0.011122797
Asclepias syriaca;Asclepias syriaca L.;;0.254678817;0.335030305;32.85400791;0.360201053;0.019254187;0.073628808;FALSE;;0.223597717;35.64950405;0.020242569
Asclepias tuberosa;Asclepias tuberosa L.;Asctu;0.202307459;0.211030289;47.00974988;0.296598077;0.015282397;0.060990742;TRUE;13.0009957;0.183971496;49.89719013;0.015853633
Asclepias verticillata;Asclepias verticillata L.;;0.143865875;0.67006061;45.22011775;0.636028202;0.01516947;0.126861284;FALSE;;0.157044131;42.80058172;0.0146642
Aster azureus;Symphyotrichum oolentangiense (Riddell) G.L.Nesom;;0.223345509;0.473804401;29.21029298;0.470468373;0.012790084;0.094756157;FALSE;;0.151700783;37.23365042;0.014855127
Aster ericoides;Symphyotrichum ericoides (L.) G.L.Nesom;;0.151402574;0.386859674;50.10766733;0.40034572;0.009537266;0.094756157;FALSE;;0.115892929;59.25604323;0.010580591
Bouteloua curtipendula;Bouteloua curtipendula (Michx.) Torr.;;0.11176655;0.335030305;34.95363877;0.360201053;0.010181191;0.073628808;FALSE;;0.099107414;37.69183072;0.010667645
Calamovilfa longifolia;Calamovilfa longifolia(Hook.) Scribn.;;0.140391753;0.335030305;78.12703162;0.360201053;0.011944823;0.073628808;FALSE;;0.145976364;76.23813374;0.011765532
Coreopsis palmata;Coreopsis palmata Nutt.;;0.071768605;0.35548828;104.3136425;0.360201053;0.008270025;0.073628808;FALSE;;0.088777525;91.28246573;0.007612946
Desmodium canadense;Desmodium canadense (L.) DC.;;0.296452877;0.335030305;232.5217068;0.360201053;0.019918985;0.073628808;FALSE;;0.371048458;201.9788435;0.018270555
Koeleria cristata;Koeleria macrantha (Ledeb.) Schult.;Koecr;0.141586747;0.205225081;68.47947363;0.294681108;0.011751837;0.060504224;TRUE;51.35749652;0.140722965;68.74290152;0.011779754
Lespedeza capitata;Lespedeza capitata Michx.;Lesca;0.250378265;0.153454489;215.326518;0.249838287;0.019700548;0.054206782;TRUE;60.72884377;0.337006249;178.7041201;0.017570744
Liatris aspera;Liatris aspera Michx.;Liaas;0.143227767;0.195662954;137.9551566;0.302340208;0.008974146;0.061495489;TRUE;140.0617737;0.134196547;143.7093516;0.009204294
Lupinus perennis;Lupinus perennis L.;Luppe;0.614708357;0.215585701;266.7872308;0.308994858;0.015751299;0.063279288;TRUE;75.35268552;0.436085593;330.9112512;0.01798171
Panicum virgatum;Panicum virgatum L.;Panvi;0.118459399;0.176416483;74.61754643;0.271319757;0.009853053;0.060777373;TRUE;79.9385937;0.116488852;75.40702594;0.009917472
Penstemon grandiflorus;Penstemon grandiflorus Nutt.;;0.115089581;0.335030305;72.45006536;0.360201053;0.010715268;0.073628808;FALSE;;0.121749137;69.93764658;0.010483815
Petalostemum candidum;Dalea candida Willd.;;0.466150796;0.335030305;207.8213396;0.360201053;0.018513901;0.073628808;FALSE;;0.415313781;223.43708;0.019355408
Petalostemum purpureum;Dalea purpurea Vent.;Petpu;0.398891972;0.167148244;238.6047851;0.256327082;0.020560647;0.056048901;TRUE;97.87495382;0.433327984;226.5250662;0.019916475
Petalostemum villosum;Dalea villosa (Nutt.) Spreng.;;0.241761872;0.473804401;208.6174974;0.470468373;0.018831212;0.094756157;FALSE;;0.318781106;175.385929;0.016927612
Poa pratensis;Poa pratensis L.;Poapr;0.103184634;0.259671132;32.99247461;0.339994762;0.013624247;0.081283726;TRUE;4.745804926;0.117686729;30.3795585;0.012947965
Potentilla arguta;Potentilla arguta Pursh;;0.180548131;0.473804401;119.1889407;0.470468373;0.006826985;0.094756157;FALSE;;0.117037295;156.4441364;0.008082557
Rudbeckia serotina;Echinacea serotina (Nutt.) DC.;;0.256224627;0.386859674;103.7698379;0.40034572;0.012828181;0.081283726;FALSE;;0.211060863;117.1947229;0.013828236
Schizachyrium scoparium;Schizachyrium scoparium (Michx.) Nash;Schsc;0.047167858;0.132898923;54.12548314;0.242143706;0.007466376;0.05486403;TRUE;54.54163063;0.059888138;46.595268;0.006803217
Solidago nemoralis;Solidago nemoralis Aiton;;0.096962306;0.335030305;48.895985;0.360201053;0.011962379;0.073628808;FALSE;;0.113068437;44.40176574;0.011270317
Solidago rigida;Solidago rigida L.;Solri;0.082939628;0.179663072;94.65993049;0.279404694;0.009357262;0.057472053;TRUE;55.40705509;0.101380745;83.4563539;0.00865457
Solidago speciosa;Solidago speciosa A.Gray;;0.100487291;0.473804401;148.854518;0.470468373;0.008486945;0.094756157;FALSE;;0.112585791;138.6068909;0.008119708
Sorghastrum nutans;Sorghastrum nutans (L.) Nash;Sornu;0.090936867;0.160875739;74.73537462;0.267688917;0.008299176;0.054206782;TRUE;58.77215023;0.091658074;74.36587769;0.008273705
Stipa spartea;Stipa spartea Trin.;;0.210364989;0.335030305;49.59186803;0.360201053;0.00884819;0.073628808;FALSE;;0.125692734;68.50795668;0.01080815