SpeciesID,G1,G2,G3,G4,mu1,mu2,mu3,mu4,F,wd
2,0.41853,0.23872,0.08625,0.06564,0.0355,0.039,0.0759,0.0954,10.0628,0.3
7,0.45022,0.17809,0.09109,0.06911,0.0179,0.0111,0.0195,0.0307,1.0685,0.42
8,0.15887,0.04089,0.02288,0.02364,0.0231,0.0154,0.0123,0.0178,55.6093,0.76
11,0.31706,0.10202,0.05684,0.04798,0.0176,0.0102,0.0135,0.0213,2.9739,0.625
12,0.72586,0.32654,0.17036,0.11256,0.0141,0.0077,0.019,0.0323,0.1242,0.391
14,0.23226,0.05458,0.03688,0.03444,0.0139,0.0063,0.0061,0.0104,3.85,0.642
18,0.52365,0.2781,0.11409,0.08187,0.0255,0.0218,0.0472,0.0661,1.9066,0.2
19,0.36164,0.15944,0.06958,0.05581,0.0264,0.0221,0.0356,0.0493,6.5824,0.652
25,0.46002,0.15091,0.09178,0.06984,0.0128,0.006,0.0099,0.0174,0.3722,0.868
26,0.47179,0.24171,0.09943,0.07357,0.0265,0.0231,0.0462,0.0639,2.9337,0.61
27,0.35006,0.10844,0.06427,0.05289,0.015,0.0078,0.0107,0.0178,1.3811,0.574
40,1.41485,1.53231,0.44029,0.23204,0.0332,0.0409,0.2112,0.2726,0.1969,0.318
42,0.92955,0.95526,0.2555,0.15164,0.0452,0.068,0.2681,0.3126,1.766,0.307
44,0.77272,0.44061,0.18932,0.12158,0.0199,0.0146,0.0409,0.0623,0.2795,0.305
47,0.29279,0.16249,0.05439,0.04576,0.0475,0.0635,0.0988,0.1128,70.8159,0.736
72,0.18788,0.051090000000000003,0.02854,0.02807,0.0217,0.014,0.0126,0.0186,27.4285,0.764
76,0.53867,0.19371,0.11348,0.08229,0.0129,0.0062,0.0117,0.0205,0.2335,0.699
79,0.18435000000000001,0.05115,0.02791,0.02758,0.0228,0.0154,0.0138,0.02,33.8868,0.72
80,0.26605,0.09353,0.04582,0.04044,0.0241,0.0179,0.0219,0.0313,12.8549,0.726
81,0.17166,0.04518,0.02533,0.02559,0.0223,0.0146,0.0124,0.018,39.5316,0.726
86,0.56859,0.23586,0.12349,0.08763,0.0155,0.0089,0.0183,0.0301,0.3459,0.36
96,0.42372,0.18388,0.08511,0.06538,0.0221,0.0163,0.0288,0.0422,2.4118,0.466
98,0.3017,0.09435,0.05317,0.04557,0.0176,0.0101,0.0128,0.0203,3.4503,0.725
99,0.43605,0.13256,0.08501,0.06588,0.0118,0.0051,0.008,0.0144,0.3487,0.58
102,0.70091,0.61321,0.17487,0.11308,0.0449,0.0647,0.2026,0.2363,4.134,0.245
106,0.19939,0.0456,0.03024,0.02949,0.0153,0.0074,0.0065,0.0107,8.2152,0.476
107,0.3046,0.11205,0.05477,0.04646,0.0229,0.0166,0.0225,0.0325,7.3059,0.782
113,0.3787,0.14343,0.07263,0.05793,0.0196,0.0128,0.02,0.0305,2.3651,0.653
117,0.46023,0.21645,0.09544,0.07139,0.0235,0.0184,0.0351,0.0505,2.2177,0.425
120,0.33265,0.11134,0.0607,0.05048,0.0179,0.0107,0.0148,0.0232,2.7322,0.56
127,0.89941,0.56085,0.23221,0.14238,0.02,0.0151,0.0481,0.073,0.1794,0.351
128,0.27282,0.1084,0.04794,0.04178,0.0289,0.0251,0.0329,0.0441,20.3824,0.668
141,0.5467,0.23627,0.11794,0.08445,0.0173,0.0107,0.0219,0.0349,0.5332,0.792
147,0.46896,0.19655,0.09657,0.07225,0.019,0.0125,0.023,0.0355,1.1218,0.596
148,0.35238,0.10106,0.06428,0.05299,0.0131,0.006,0.0081,0.0141,0.9063,0.71
149,0.36631,0.19627,0.07222,0.0572,0.0363,0.0398,0.0697,0.087,16.0697,0.619
165,0.63858,0.39134,0.14941,0.10081,0.0269,0.0248,0.0638,0.088,1.2173,0.158
171,0.34422,0.11232,0.06325,0.05216,0.0166,0.0094,0.013,0.021,1.9726,0.59
175,0.57477,0.53854,0.13659,0.09301,0.0608,0.1102,0.3145,0.3321,18.5161,0.54
183,0.09597,0.02967,0.01223,0.0144,0.0508,0.0613,0.039,0.0434,2627.0074,0.383
185,0.10583,0.02913,0.01369,0.01578,0.0381,0.0365,0.0235,0.0288,833.3237,0.383
186,0.34225,0.12988,0.06381,0.05233,0.0216,0.0151,0.0223,0.0329,4.3153,0.33
191,0.49527,0.21189,0.1038,0.07642,0.0187,0.0122,0.0234,0.0363,0.9031,0.584
193,0.26651,0.06748,0.04434,0.03972,0.0138,0.0064,0.0069,0.0118,2.4967,0.57
199,0.41327,0.10836,0.07811,0.06187,0.0097,0.0035,0.005,0.0097,0.229,0.414
200,0.31579,0.1276,0.05794,0.04845,0.0259,0.0209,0.0301,0.0419,9.4285,0.576
206,0.32091,0.1846,0.06142,0.05029,0.0463,0.0613,0.1022,0.1177,49.5206,0.527
211,0.15936,0.05391,0.02365,0.0241,0.0366,0.036,0.0321,0.0398,212.1976,0.525
219,0.38481,0.11213,0.07209,0.05795,0.0124,0.0055,0.0078,0.0139,0.5865,0.454
223,0.33372,0.12873,0.06188,0.05107,0.0227,0.0166,0.0242,0.0351,5.4223,0.474
235,0.61363,0.58407,0.14879,0.09943,0.0587,0.1042,0.3112,0.3325,13.6597,0.422
236,0.41591,0.20436000000000001,0.08421,0.06465,0.0278,0.0248,0.0453,0.0617,4.979,0.422
238,0.36298,0.12206,0.06792,0.05512,0.0167,0.0095,0.0137,0.0221,1.6794,0.595
239,0.65953,0.38223,0.15479,0.10378,0.0237,0.0198,0.0508,0.0729,0.7641,0.391
255,0.62111,0.28605,0.13985,0.09637,0.0171,0.0106,0.0241,0.0386,0.3469,0.62
258,0.55889,0.20685,0.11933,0.08554,0.013,0.0064,0.0125,0.0217,0.2172,0.62
260,0.75,0.69488,0.1919,0.12146,0.0464,0.0695,0.2314,0.2671,3.6997,0.319
264,0.53349,0.32468,0.11856,0.0841,0.0315,0.0324,0.0747,0.0977,3.3624,0.27
266,0.20467,0.06107,0.03217,0.03077,0.0234,0.0163,0.0161,0.0231,26.3686,0.659
267,0.64262,0.41744,0.15156,0.1018,0.0295,0.0294,0.0778,0.1041,1.5667,0.355
268,0.34575,0.13466,0.06482,0.05295,0.0223,0.0161,0.0241,0.0353,4.6244,0.368
273,0.39835,0.19123,0.07948,0.06182,0.0278,0.0247,0.0436,0.0593,5.7079,0.43
278,0.95104,0.88497,0.26032,0.15424,0.0374,0.0481,0.185,0.2294,0.9441,0.609
281,0.4974,0.18993,0.10311,0.07623,0.0153,0.0085,0.0156,0.0258,0.501,0.469
