SpeciesID,AllocSeed,LMR,m0,MaxMass,mSeed,Dist,pEstab,Gmax,SLA,palat,memo,RAR,growth,mThres,clonal,meanSpacerLength,sdSpacerlength,Resshare,AllocSpacer,mSpacer
5,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,1,1,2,1,0.25,0.2,1,2.5,2.5,1,0.05,70
14,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.75,0.5,2,1,0.25,0.2,1,2.5,2.5,1,0.05,70
23,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.5,0.25,2,1,0.25,0.2,1,2.5,2.5,1,0.05,70
29,0.05,1,0.3,2000,0.3,0.3,0.5,40,1,1,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
32,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,1,1,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
33,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
41,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,0.75,0.5,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
42,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
44,0.05,0.5,0.3,2000,0.3,0.3,0.5,40,0.75,0.5,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
48,0.05,1,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
50,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,0.5,0.25,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
51,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,1,2.5,2.5,1,0.05,70
60,0.05,0.75,0.1,1000,0.1,0.6,0.5,20,1,1,6,1,0.25,0.2,1,2.5,2.5,1,0.05,70
62,0.05,0.5,0.3,2000,0.3,0.3,0.5,20,1,1,6,1,0.25,0.2,1,2.5,2.5,1,0.05,70
68,0.05,0.75,0.3,2000,0.3,0.3,0.5,20,0.75,0.5,6,1,0.25,0.2,1,2.5,2.5,1,0.05,70
75,0.05,1,0.1,1000,0.1,0.6,0.5,20,0.5,0.25,6,1,0.25,0.2,1,2.5,2.5,1,0.05,70
86,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,1,1,2,1,0.25,0.2,1,2.5,2.5,0,0.05,70
94,0.05,0.75,1,5000,1,0.1,0.5,60,0.75,0.5,2,1,0.25,0.2,1,2.5,2.5,0,0.05,70
104,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.5,0.25,2,1,0.25,0.2,1,2.5,2.5,0,0.05,70
114,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,1,2.5,2.5,0,0.05,70
128,0.05,1,0.3,2000,0.3,0.3,0.5,40,0.5,0.25,4,1,0.25,0.2,1,2.5,2.5,0,0.05,70
132,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,1,2.5,2.5,0,0.05,70
167,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,1,1,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
170,0.05,0.5,0.3,2000,0.3,0.3,0.5,60,1,1,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
171,0.05,0.5,0.1,1000,0.1,0.6,0.5,60,1,1,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
176,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.75,0.5,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
178,0.05,0.5,1,5000,1,0.1,0.5,60,0.75,0.5,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
185,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.5,0.25,2,1,0.25,0.2,1,17.5,12.5,1,0.05,70
194,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,1,1,4,1,0.25,0.2,1,17.5,12.5,1,0.05,70
197,0.05,0.5,0.3,2000,0.3,0.3,0.5,40,1,1,4,1,0.25,0.2,1,17.5,12.5,1,0.05,70
198,0.05,0.5,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,1,17.5,12.5,1,0.05,70
203,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,0.75,0.5,4,1,0.25,0.2,1,17.5,12.5,1,0.05,70
204,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,1,17.5,12.5,1,0.05,70
224,0.05,0.5,0.3,2000,0.3,0.3,0.5,20,1,1,6,1,0.25,0.2,1,17.5,12.5,1,0.05,70
243,0.05,0.5,0.1,1000,0.1,0.6,0.5,20,0.5,0.25,6,1,0.25,0.2,1,17.5,12.5,1,0.05,70
269,0.05,0.5,0.3,2000,0.3,0.3,0.5,60,0.5,0.25,2,1,0.25,0.2,1,17.5,12.5,0,0.05,70
270,0.05,0.5,0.1,1000,0.1,0.6,0.5,60,0.5,0.25,2,1,0.25,0.2,1,17.5,12.5,0,0.05,70
276,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
279,0.05,0.5,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
288,0.05,0.5,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
291,0.05,1,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
293,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,0.5,0.25,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
294,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,1,17.5,12.5,0,0.05,70
306,0.05,0.5,0.1,1000,0.1,0.6,0.5,20,1,1,6,1,0.25,0.2,1,17.5,12.5,0,0.05,70
320,0.05,0.75,0.3,2000,0.3,0.3,0.5,20,0.5,0.25,6,1,0.25,0.2,1,17.5,12.5,0,0.05,70
652,0.05,0.75,1,5000,1,0.1,0.5,60,1,1,2,1,0.25,0.2,0,0,0,0,0,0
654,0.05,0.75,0.1,1000,0.1,0.6,0.5,60,1,1,2,1,0.25,0.2,0,0,0,0,0,0
656,0.05,0.5,0.3,2000,0.3,0.3,0.5,60,1,1,2,1,0.25,0.2,0,0,0,0,0,0
657,0.05,0.5,0.1,1000,0.1,0.6,0.5,60,1,1,2,1,0.25,0.2,0,0,0,0,0,0
661,0.05,0.75,1,5000,1,0.1,0.5,60,0.75,0.5,2,1,0.25,0.2,0,0,0,0,0,0
662,0.05,0.75,0.3,2000,0.3,0.3,0.5,60,0.75,0.5,2,1,0.25,0.2,0,0,0,0,0,0
663,0.05,0.75,0.1,1000,0.1,0.6,0.5,60,0.75,0.5,2,1,0.25,0.2,0,0,0,0,0,0
678,0.05,1,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,0,0,0,0,0,0
683,0.05,0.5,0.3,2000,0.3,0.3,0.5,40,1,1,4,1,0.25,0.2,0,0,0,0,0,0
684,0.05,0.5,0.1,1000,0.1,0.6,0.5,40,1,1,4,1,0.25,0.2,0,0,0,0,0,0
687,0.05,1,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,0,0,0,0,0,0
689,0.05,0.75,0.3,2000,0.3,0.3,0.5,40,0.75,0.5,4,1,0.25,0.2,0,0,0,0,0,0
690,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,0,0,0,0,0,0
693,0.05,0.5,0.1,1000,0.1,0.6,0.5,40,0.75,0.5,4,1,0.25,0.2,0,0,0,0,0,0
696,0.05,1,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,0,0,0,0,0,0
699,0.05,0.75,0.1,1000,0.1,0.6,0.5,40,0.5,0.25,4,1,0.25,0.2,0,0,0,0,0,0
710,0.05,0.5,0.3,2000,0.3,0.3,0.5,20,1,1,6,1,0.25,0.2,0,0,0,0,0,0
711,0.05,0.5,0.1,1000,0.1,0.6,0.5,20,1,1,6,1,0.25,0.2,0,0,0,0,0,0
729,0.05,0.5,0.1,1000,0.1,0.6,0.5,20,0.5,0.25,6,1,0.25,0.2,0,0,0,0,0,0
